Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/competitions/:id/matchdays,1189,0,390,2142.0159653864257,3.268268992542289,19205.360380001366,2280.0,13.333474579512398,0.0,390,2400,2900,3800,6000,8800,11000,14000,19000,19000,19000
GET,/api/competitions/:id/standings,4715,0,650,2183.995793954997,4.464192999876104,27771.88131699222,983.0,52.87412333254917,0.0,650,2400,2900,3600,6000,8100,11000,14000,22000,28000,28000
GET,/api/home,5770,1,690,2217.8648561686027,6.919403997017071,30107.53124099574,959.8372616984402,64.70491869115773,0.011214024036595794,690,2500,3000,3700,5900,7600,11000,13000,21000,30000,30000
GET,/api/players/catalog,4638,1,690,2189.090568676809,5.133386002853513,30098.6127720098,3731.363949978439,52.01064348173129,0.011214024036595794,690,2400,3000,4400,5800,8300,10000,13000,21000,30000,30000
GET,/api/players/facets,2406,0,670,2106.757383039062,2.697828007512726,26351.772990994505,164.0,26.980941832049478,0.0,670,2400,2900,3500,5500,7700,9500,12000,19000,26000,26000
,Aggregated,18718,2,650,2183.1038408243635,2.697828007512726,30107.53124099574,1633.9713644620151,209.90410191700005,0.022428048073191587,650,2500,2900,4000,5900,8100,11000,13000,20000,30000,30000
