Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/competitions/:id/matchdays,2496,0,15,49.923190939178035,2.8084799996577203,1153.7285749946022,2280.0,27.815941709338528,0.0,15,29,49,62,120,180,360,540,1100,1200,1200
GET,/api/competitions/:id/standings,9890,0,10,39.72366538664307,1.4133539953036234,1101.5458040055819,983.0,110.21621134028767,0.0,10,23,40,53,100,170,260,380,920,1100,1100
GET,/api/home,12561,0,10,40.40219519339591,1.5898219862719998,1187.918804003857,960.0,139.98238934735627,0.0,10,23,40,53,110,170,280,390,950,1200,1200
GET,/api/players/catalog,9871,0,10,39.685833963579135,1.7460750095779076,1112.3905230051605,3732.162293587276,110.00447139939126,0.0,10,23,39,52,100,170,260,370,920,1100,1100
GET,/api/players/facets,4900,0,10,38.54130000921681,1.3290420029079542,1060.3301459923387,164.0,54.606616336441824,0.0,10,24,41,55,100,160,250,350,790,1100,1100
,Aggregated,39718,0,11,40.423952519814485,1.3290420029079542,1187.918804003857,1639.4351175789316,442.62563013281556,0.0,11,23,41,54,110,170,270,390,940,1200,1200
