Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/competitions/:id/matchdays,539,0,7,10.81797496115133,2.8281270060688257,106.42058099620044,2479.0,9.12182750089804,0.0,7,9,11,13,18,39,52,74,110,110,110
GET,/api/competitions/:id/standings,2093,0,8,11.344323355938823,3.4040730097331107,167.83252199820708,983.0,35.42112237361706,0.0,8,10,12,14,18,29,56,63,110,170,170
GET,/api/home,2618,0,12,16.20601084422226,4.984105005860329,180.8228690060787,839.0,44.306019290076186,0.0,12,15,18,20,28,46,65,74,150,180,180
GET,/api/players/catalog,2057,0,9,12.053714709650267,3.5161220002919436,146.48819099238608,3732.170636849781,34.81187229934557,0.0,9,11,13,14,21,34,56,64,100,150,150
GET,/api/players/facets,987,0,6,9.06406706178114,2.4136530118994415,114.20451800222509,164.0,16.70360620294316,0.0,6,8,9,10,15,24,48,64,110,110,110
,Aggregated,8294,0,9,12.749290936332649,2.4136530118994415,180.8228690060787,1619.1276826621654,140.36444766688,0.0,9,12,14,15,22,37,58,67,130,180,180
