Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/competitions/:id/matchdays,1964,0,570,658.8517710178988,3.529112000251189,3564.515730002313,2280.0,21.77465302028042,0.0,570,770,940,1000,1300,1600,2000,2300,3200,3600,3600
GET,/api/competitions/:id/standings,7526,0,540,649.9282987008194,4.111750997253694,4021.6981429985026,983.0,83.43993820296866,0.0,540,760,910,1000,1300,1600,2100,2300,3500,4000,4000
GET,/api/home,9358,0,650,736.0641778443706,6.2984010000946,4540.202641001088,960.0,103.75112167198789,0.0,650,870,1000,1100,1400,1700,2100,2300,3000,4500,4500
GET,/api/players/catalog,7455,0,560,668.6849584271879,4.284598995582201,3741.8812179967063,3732.3142857142857,82.65276897463878,0.0,560,780,940,1000,1300,1600,2100,2300,3200,3700,3700
GET,/api/players/facets,3664,0,530,645.1224371074235,2.6578620017971843,3688.654786994448,164.0,40.622366938038425,0.0,530,760,910,1000,1300,1500,2100,2300,3300,3700,3700
,Aggregated,29967,0,580,681.4899324325255,2.6578620017971843,4540.202641001088,1644.6410051056162,332.2408488079142,0.0,580,800,960,1000,1300,1600,2100,2300,3200,4000,4500
